Zastupitelstvo;Jméno;Příjmení;Věk;"Politická příslušnost";Plné jméno;
Zastupitelstvo - Moravskoslezský kraj; Jitka;Hanusová ;45;KSČM;Hanusová Jitka Ing.;
Zastupitelstvo - Moravskoslezský kraj; Petr;Havránek ;39;KSČM;Havránek Petr Ing.;
Zastupitelstvo - Moravskoslezský kraj; Igor;Hendrych ;48;ANO 2011;Hendrych Igor PhDr.;
Zastupitelstvo - Moravskoslezský kraj; Zdeněk;Husťák ;45;ČSSD;Husťák Zdeněk Ing.;
Zastupitelstvo - Moravskoslezský kraj; Kateřina;Chybidziurová ;40;ČSSD;Chybidziurová Kateřina Ing.;
Zastupitelstvo - Moravskoslezský kraj; Barbora;Jelonková ;44;ČSSD;Jelonková Barbora MVDr.;
Zastupitelstvo - Moravskoslezský kraj; Jaroslav;Kala ;58;ČSSD;Kala Jaroslav Ing.;
Zastupitelstvo - Moravskoslezský kraj; Jaroslav;Kania ;57;ANO 2011;Kania Jaroslav Ing.;
Zastupitelstvo - Moravskoslezský kraj; Zdeněk;Karásek ;61;BEZPP;Karásek Zdeněk Mgr.;
Zastupitelstvo - Moravskoslezský kraj; Radka;Krištofová ;44;ČSSD;Krištofová Radka Ing.;
Zastupitelstvo - Moravskoslezský kraj; Květa;Kubíčková ;60;ANO 2011;Kubíčková Květa;
Zastupitelstvo - Moravskoslezský kraj; Róbert;Masarovič ;43;ANO 2011;Masarovič Róbert MSc.;
Zastupitelstvo - Moravskoslezský kraj; Josef;Matera ;31;ODS;Matera Josef Alexander Mgr.;
Zastupitelstvo - Moravskoslezský kraj; Tomáš;Miczka ;50;SPO;Miczka Tomáš;
Zastupitelstvo - Moravskoslezský kraj; Heříková;Mrózková ;56;ANO 2011;Mrózková Heříková Marcela Mgr.;
Zastupitelstvo - Moravskoslezský kraj; Vladimír;Návrat ;53;ODS;Návrat Vladimír Ing.;
Zastupitelstvo - Moravskoslezský kraj; Jiří;Navrátil ;39;KDU-ČSL;Navrátil Jiří;
Zastupitelstvo - Moravskoslezský kraj; Martina;Nováková ;40;ODS;Nováková Martina Mgr. DiS.;
Zastupitelstvo - Moravskoslezský kraj; Zuzana;Ožanová ;46;ANO 2011;Ožanová Zuzana Ing.;
Zastupitelstvo - Moravskoslezský kraj; Radek;Podstawka ;47;ANO 2011;Podstawka Radek Ing.;
Zastupitelstvo - Moravskoslezský kraj; Jana;Pohludková ;55;KSČM;Pohludková Jana;
Zastupitelstvo - Moravskoslezský kraj; Radim;Přeček ;43;SPO;Přeček Radim Ing.;
Zastupitelstvo - Moravskoslezský kraj; Josef;Pukančík ;39;ANO 2011;Pukančík Josef Ing.;
Zastupitelstvo - Moravskoslezský kraj; Jaromír;Radkovský ;48;ANO 2011;Radkovský Jaromír PhDr. Mgr. MBA;
Zastupitelstvo - Moravskoslezský kraj; Martin;Schwarz ;38;ANO 2011;Schwarz Martin;
Zastupitelstvo - Moravskoslezský kraj; Karel;Siuda ;40;KDU-ČSL;Siuda Karel Ing.;
Zastupitelstvo - Moravskoslezský kraj; Karel;Sládeček ;53;SPO;Sládeček Karel Mgr.;
Zastupitelstvo - Moravskoslezský kraj; Šárka;Šimoňáková ;33;ANO 2011;Šimoňáková Šárka Ing.;
Zastupitelstvo - Moravskoslezský kraj; Eva;Tořová ;53;ČSSD;Tořová Eva Bc.;
Zastupitelstvo - Moravskoslezský kraj; Jarmila;Uvírová ;57;ANO 2011;Uvírová Jarmila;
Zastupitelstvo - Moravskoslezský kraj; Ctibor;Vajda ;62;ČSSD;Vajda Ctibor Ing.;
Zastupitelstvo - Moravskoslezský kraj; Jan;Veřmiřovský ;36;ANO 2011;Veřmiřovský Jan RNDr. Ph.D.;
Zastupitelstvo - Moravskoslezský kraj; Radomíra;Vlčková ;56;ANO 2011;Vlčková Radomíra;
Zastupitelstvo - Moravskoslezský kraj; Lubomír;Volný ;43;SPD;Volný Lubomír Mgr.;
Zastupitelstvo - Moravskoslezský kraj; Petr;Zábojník ;32;ANO 2011;Zábojník Petr;
Zastupitelstvo - Moravskoslezský kraj; Martin;Zuštík ;60;BEZPP;Zuštík Martin Ing. Ph.D.;
